date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:36:26	2924/2924	---M-Z	200	added ('OK')	application/javascript	etag:%22b6c-59765397dae2a-gzip%22	https://springvaleprimary.org/wp-content/themes/kava/assets/js/responsive-menu.js?ver=1.0.0	C:/My%20Web%20Sites/Website/springvaleprimary.org/wp-content/themes/kava/assets/js/responsive-menu8a54.js	(from https://springvaleprimary.org/)
02:36:26	894/894	---M-Z	200	added ('OK')	application/javascript	etag:%2237e-59765397dae2a-gzip%22	https://springvaleprimary.org/wp-content/themes/kava/assets/js/jquery.ui.totop.min.js?ver=1.2.0	C:/My%20Web%20Sites/Website/springvaleprimary.org/wp-content/themes/kava/assets/js/jquery.ui.totop.min7359.js	(from https://springvaleprimary.org/)
02:36:26	127939/127939	---M-Z	200	added ('OK')	text/html	date:Sat,%2010%20Oct%202020%2002:36:25%20GMT	https://springvaleprimary.org/policies/	C:/My%20Web%20Sites/Website/springvaleprimary.org/policies/index.html	(from https://springvaleprimary.org/)
02:36:27	1514/1514	---M-Z	200	added ('OK')	application/javascript	etag:%225ea-59765397dae2a-gzip%22	https://springvaleprimary.org/wp-content/themes/kava/assets/js/theme-script.js?ver=1.2.6	C:/My%20Web%20Sites/Website/springvaleprimary.org/wp-content/themes/kava/assets/js/theme-script578f.js	(from https://springvaleprimary.org/)
02:36:27	124977/124977	---M-Z	200	added ('OK')	text/html	date:Sat,%2010%20Oct%202020%2002:36:26%20GMT	https://springvaleprimary.org/key-information/active-and-sustainable-travel/	C:/My%20Web%20Sites/Website/springvaleprimary.org/key-information/active-and-sustainable-travel/index.html	(from https://springvaleprimary.org/)
02:36:27	93670/93670	---M-Z	200	added ('OK')	application/javascript	etag:%2216de6-5a332318c1656-gzip%22	https://springvaleprimary.org/wp-content/plugins/jet-menu/assets/public/js/vue.min.js?ver=2.6.11	C:/My%20Web%20Sites/Website/springvaleprimary.org/wp-content/plugins/jet-menu/assets/public/js/vue.mina117.js	(from https://springvaleprimary.org/)
02:36:27	39014/39014	---M-Z	200	added ('OK')	application/javascript	etag:%229866-5a332318c1656-gzip%22	https://springvaleprimary.org/wp-content/plugins/jet-menu/assets/public/js/jet-menu-public-script.js?ver=2.0.3	C:/My%20Web%20Sites/Website/springvaleprimary.org/wp-content/plugins/jet-menu/assets/public/js/jet-menu-public-scriptb95e.js	(from https://springvaleprimary.org/)
02:36:27	3303/3303	---M-Z	200	added ('OK')	application/javascript	etag:%22ce7-55e6ded3b6702-gzip%22	https://springvaleprimary.org/wp-content/plugins/tm-content-builder/framework/assets/js/libs/jquery.fitvids.js?ver=1.0.0	C:/My%20Web%20Sites/Website/springvaleprimary.org/wp-content/plugins/tm-content-builder/framework/assets/js/libs/jquery.fitvids8a54.js	(from https://springvaleprimary.org/)
02:36:27	134886/134886	---M-Z	200	added ('OK')	text/html	date:Sat,%2010%20Oct%202020%2002:36:26%20GMT	https://springvaleprimary.org/pupil-premium/	C:/My%20Web%20Sites/Website/springvaleprimary.org/pupil-premium/index.html	(from https://springvaleprimary.org/)
02:36:28	8839/8839	---M-Z	200	added ('OK')	application/javascript	etag:%222287-55e6ded3b6702-gzip%22	https://springvaleprimary.org/wp-content/plugins/tm-content-builder/framework/assets/js/libs/waypoints.min.js?ver=1.0.0	C:/My%20Web%20Sites/Website/springvaleprimary.org/wp-content/plugins/tm-content-builder/framework/assets/js/libs/waypoints.min8a54.js	(from https://springvaleprimary.org/)
02:36:28	20216/20216	---M-Z	200	added ('OK')	application/javascript	etag:%224ef8-59765397de23e-gzip%22	https://springvaleprimary.org/wp-content/themes/kava/assets/lib/magnific-popup/jquery.magnific-popup.min.js?ver=1.1.0	C:/My%20Web%20Sites/Website/springvaleprimary.org/wp-content/themes/kava/assets/lib/magnific-popup/jquery.magnific-popup.minf488.js	(from https://springvaleprimary.org/)
02:36:28	120419/120419	---M-Z	200	added ('OK')	text/html	date:Sat,%2010%20Oct%202020%2002:36:27%20GMT	https://springvaleprimary.org/recent-outcomes/	C:/My%20Web%20Sites/Website/springvaleprimary.org/recent-outcomes/index.html	(from https://springvaleprimary.org/)
02:36:28	7786/7786	---M-Z	200	added ('OK')	application/javascript	etag:%221e6a-55e6ded3b6702-gzip%22	https://springvaleprimary.org/wp-content/plugins/tm-content-builder/framework/assets/js/libs/jquery.mobile.custom.min.js?ver=1.0.0	C:/My%20Web%20Sites/Website/springvaleprimary.org/wp-content/plugins/tm-content-builder/framework/assets/js/libs/jquery.mobile.custom.min8a54.js	(from https://springvaleprimary.org/)
02:36:28	391/391	---M-Z	200	added ('OK')	application/javascript	etag:%22187-55e6ded3b6702-gzip%22	https://springvaleprimary.org/wp-content/plugins/tm-content-builder/framework/assets/js/libs/jquery.closest-descendent.js?ver=1.0.0	C:/My%20Web%20Sites/Website/springvaleprimary.org/wp-content/plugins/tm-content-builder/framework/assets/js/libs/jquery.closest-descendent8a54.js	(from https://springvaleprimary.org/)
02:36:29	62/62	---M--	200	added ('OK')	application/javascript	etag:%223e-55e6ded3b6702%22	https://springvaleprimary.org/wp-content/plugins/tm-content-builder/framework/assets/js/libs/jquery.reverse.js?ver=1.0.0	C:/My%20Web%20Sites/Website/springvaleprimary.org/wp-content/plugins/tm-content-builder/framework/assets/js/libs/jquery.reverse8a54.js	(from https://springvaleprimary.org/)
02:36:29	117670/117670	---M-Z	200	added ('OK')	text/html	date:Sat,%2010%20Oct%202020%2002:36:28%20GMT	https://springvaleprimary.org/school-meals/	C:/My%20Web%20Sites/Website/springvaleprimary.org/school-meals/index.html	(from https://springvaleprimary.org/)
02:36:29	16803/16803	---M-Z	200	added ('OK')	application/javascript	etag:%2241a3-55e6ded3b6702-gzip%22	https://springvaleprimary.org/wp-content/plugins/tm-content-builder/framework/assets/js/jquery.tm-pb-simple-carousel.js?ver=1.0.0	C:/My%20Web%20Sites/Website/springvaleprimary.org/wp-content/plugins/tm-content-builder/framework/assets/js/jquery.tm-pb-simple-carousel8a54.js	(from https://springvaleprimary.org/)
02:36:29	15963/15963	---M-Z	200	added ('OK')	application/javascript	etag:%223e5b-55e6ded3b6702-gzip%22	https://springvaleprimary.org/wp-content/plugins/tm-content-builder/framework/assets/js/jquery.tm-pb-simple-slider.js?ver=1.0.0	C:/My%20Web%20Sites/Website/springvaleprimary.org/wp-content/plugins/tm-content-builder/framework/assets/js/jquery.tm-pb-simple-slider8a54.js	(from https://springvaleprimary.org/)
02:36:29	9556/9556	---M-Z	200	added ('OK')	application/javascript	etag:%222554-55e6ded3b6702-gzip%22	https://springvaleprimary.org/wp-content/plugins/tm-content-builder/framework/assets/js/libs/jquery.easypiechart.js?ver=1.0.0	C:/My%20Web%20Sites/Website/springvaleprimary.org/wp-content/plugins/tm-content-builder/framework/assets/js/libs/jquery.easypiechart8a54.js	(from https://springvaleprimary.org/)
02:36:29	2297/2297	---M-Z	200	added ('OK')	application/javascript	etag:%228f9-55e6ded3b7407-gzip%22	https://springvaleprimary.org/wp-content/plugins/tm-content-builder/framework/assets/js/tm-hash.js?ver=1.0.0	C:/My%20Web%20Sites/Website/springvaleprimary.org/wp-content/plugins/tm-content-builder/framework/assets/js/tm-hash8a54.js	(from https://springvaleprimary.org/)
02:36:30	118341/118341	---M-Z	200	added ('OK')	text/html	date:Sat,%2010%20Oct%202020%2002:36:29%20GMT	https://springvaleprimary.org/uniform/	C:/My%20Web%20Sites/Website/springvaleprimary.org/uniform/index.html	(from https://springvaleprimary.org/)
